,pnum,phase_id,condition,block_data,trial_num,stim,correct_category,response,hit,rt,criterian,met_criterian,num_correct_in_block
0,11006,training_phase_1,1,1,1,materials/images/blueB5.png,Beta,Alpha,0,2.862772300024517,11,0,0
1,11006,training_phase_1,1,1,2,materials/images/blueB1.png,Beta,Beta,1,0.9002013999270275,11,0,1
2,11006,training_phase_1,1,1,3,materials/images/blueB2.png,Beta,Beta,1,0.8895506000844762,11,0,2
3,11006,training_phase_1,1,1,4,materials/images/redA1.png,Alpha,Beta,0,1.0117034999420866,11,0,2
4,11006,training_phase_1,1,1,5,materials/images/redA5.png,Alpha,Beta,0,1.5639260000316426,11,0,2
5,11006,training_phase_1,1,1,6,materials/images/redA6.png,Alpha,Alpha,1,0.2805336000164971,11,0,3
6,11006,training_phase_1,1,1,7,materials/images/blueB4.png,Beta,Beta,1,3.0387265000026673,11,0,4
7,11006,training_phase_1,1,1,8,materials/images/redA3.png,Alpha,Alpha,1,3.3296711000148207,11,0,5
8,11006,training_phase_1,1,1,9,materials/images/redA4.png,Alpha,Beta,0,0.48480520001612604,11,0,5
9,11006,training_phase_1,1,1,10,materials/images/blueB6.png,Beta,Beta,1,0.4033419999759644,11,0,6
10,11006,training_phase_1,1,1,11,materials/images/blueB3.png,Beta,Alpha,0,0.26464240008499473,11,0,6
11,11006,training_phase_1,1,1,12,materials/images/redA2.png,Alpha,Alpha,1,0.9909657000098377,11,0,7
12,11006,training_phase_1,1,2,13,materials/images/redA3.png,Alpha,Alpha,1,0.7050808999920264,11,0,1
13,11006,training_phase_1,1,2,14,materials/images/blueB1.png,Beta,Alpha,0,0.46691169997211546,11,0,1
14,11006,training_phase_1,1,2,15,materials/images/redA1.png,Alpha,Alpha,1,0.15530019998550415,11,0,2
15,11006,training_phase_1,1,2,16,materials/images/blueB5.png,Beta,Beta,1,0.4963026000186801,11,0,3
16,11006,training_phase_1,1,2,17,materials/images/redA5.png,Alpha,Beta,0,1.1450547000858933,11,0,3
17,11006,training_phase_1,1,2,18,materials/images/blueB3.png,Beta,Alpha,0,3.045373300090432,11,0,3
18,11006,training_phase_1,1,2,19,materials/images/blueB6.png,Beta,Beta,1,0.5865231000352651,11,0,4
19,11006,training_phase_1,1,2,20,materials/images/redA6.png,Alpha,Alpha,1,0.8929022999946028,11,0,5
20,11006,training_phase_1,1,2,21,materials/images/blueB4.png,Beta,Beta,1,0.02360329998191446,11,0,6
21,11006,training_phase_1,1,2,22,materials/images/blueB2.png,Beta,Alpha,0,0.19222030008677393,11,0,6
22,11006,training_phase_1,1,2,23,materials/images/redA2.png,Alpha,Alpha,1,0.280388499959372,11,0,7
23,11006,training_phase_1,1,2,24,materials/images/redA4.png,Alpha,Alpha,1,4.44967150001321,11,0,8
24,11006,training_phase_1,1,3,25,materials/images/blueB5.png,Beta,Beta,1,0.9805932000745088,11,0,1
25,11006,training_phase_1,1,3,26,materials/images/redA6.png,Alpha,Alpha,1,1.0277969999006018,11,0,2
26,11006,training_phase_1,1,3,27,materials/images/redA5.png,Alpha,Alpha,1,0.1738469999982044,11,0,3
27,11006,training_phase_1,1,3,28,materials/images/blueB1.png,Beta,Alpha,0,1.0795182000147179,11,0,3
28,11006,training_phase_1,1,3,29,materials/images/blueB3.png,Beta,Alpha,0,0.8280366000253707,11,0,3
29,11006,training_phase_1,1,3,30,materials/images/blueB6.png,Beta,Beta,1,0.2066821000771597,11,0,4
30,11006,training_phase_1,1,3,31,materials/images/redA4.png,Alpha,Alpha,1,1.5108125999104232,11,0,5
31,11006,training_phase_1,1,3,32,materials/images/redA1.png,Alpha,Alpha,1,0.9791555000701919,11,0,6
32,11006,training_phase_1,1,3,33,materials/images/redA3.png,Alpha,Alpha,1,0.9837387999286875,11,0,7
33,11006,training_phase_1,1,3,34,materials/images/blueB4.png,Beta,Beta,1,0.01974070002324879,11,0,8
34,11006,training_phase_1,1,3,35,materials/images/blueB2.png,Beta,Beta,1,1.0191482999362051,11,0,9
35,11006,training_phase_1,1,3,36,materials/images/redA2.png,Alpha,Alpha,1,0.0493387000169605,11,0,10
36,11006,training_phase_1,1,4,37,materials/images/redA5.png,Alpha,Beta,0,1.6144266999326646,11,0,0
37,11006,training_phase_1,1,4,38,materials/images/redA4.png,Alpha,Alpha,1,0.8639679999323562,11,0,1
38,11006,training_phase_1,1,4,39,materials/images/blueB4.png,Beta,Beta,1,0.024309000000357628,11,0,2
39,11006,training_phase_1,1,4,40,materials/images/blueB6.png,Beta,Alpha,0,1.1406941000605002,11,0,2
40,11006,training_phase_1,1,4,41,materials/images/redA1.png,Alpha,Alpha,1,0.1557147999992594,11,0,3
41,11006,training_phase_1,1,4,42,materials/images/blueB3.png,Beta,Beta,1,0.74772220000159,11,0,4
42,11006,training_phase_1,1,4,43,materials/images/blueB2.png,Beta,Alpha,0,0.485546899959445,11,0,4
43,11006,training_phase_1,1,4,44,materials/images/redA6.png,Alpha,Beta,0,1.1169848999707028,11,0,4
44,11006,training_phase_1,1,4,45,materials/images/redA3.png,Alpha,Alpha,1,0.31622739997692406,11,0,5
45,11006,training_phase_1,1,4,46,materials/images/blueB1.png,Beta,Beta,1,0.2327997999964282,11,0,6
46,11006,training_phase_1,1,4,47,materials/images/blueB5.png,Beta,Beta,1,2.0314175999956205,11,0,7
47,11006,training_phase_1,1,4,48,materials/images/redA2.png,Alpha,Beta,0,4.971460900036618,11,0,7
48,11006,training_phase_1,1,5,49,materials/images/blueB4.png,Beta,Beta,1,5.67088240000885,11,0,1
49,11006,training_phase_1,1,5,50,materials/images/redA3.png,Alpha,Alpha,1,0.15959739999379963,11,0,2
50,11006,training_phase_1,1,5,51,materials/images/blueB5.png,Beta,Beta,1,1.6108303000219166,11,0,3
51,11006,training_phase_1,1,5,52,materials/images/blueB6.png,Beta,Alpha,0,1.5782188999000937,11,0,3
52,11006,training_phase_1,1,5,53,materials/images/redA4.png,Alpha,Alpha,1,0.6430528999771923,11,0,4
53,11006,training_phase_1,1,5,54,materials/images/blueB1.png,Beta,Beta,1,1.9185705999843776,11,0,5
54,11006,training_phase_1,1,5,55,materials/images/blueB3.png,Beta,Alpha,0,0.1981293000280857,11,0,5
55,11006,training_phase_1,1,5,56,materials/images/blueB2.png,Beta,Alpha,0,1.4251079000532627,11,0,5
56,11006,training_phase_1,1,5,57,materials/images/redA5.png,Alpha,Alpha,1,0.8795832999749109,11,0,6
57,11006,training_phase_1,1,5,58,materials/images/redA6.png,Alpha,Beta,0,0.023934299941174686,11,0,6
58,11006,training_phase_1,1,5,59,materials/images/redA1.png,Alpha,Beta,0,0.8916182999964803,11,0,6
59,11006,training_phase_1,1,5,60,materials/images/redA2.png,Alpha,Alpha,1,0.3040906999958679,11,0,7
60,11006,training_phase_1,1,6,61,materials/images/redA1.png,Alpha,Alpha,1,0.01831579999998212,11,0,1
61,11006,training_phase_1,1,6,62,materials/images/blueB4.png,Beta,Beta,1,0.02351299999281764,11,0,2
62,11006,training_phase_1,1,6,63,materials/images/blueB3.png,Beta,Alpha,0,2.044049600022845,11,0,2
63,11006,training_phase_1,1,6,64,materials/images/redA6.png,Alpha,Beta,0,0.1370430999668315,11,0,2
64,11006,training_phase_1,1,6,65,materials/images/blueB5.png,Beta,Beta,1,1.033122600056231,11,0,3
65,11006,training_phase_1,1,6,66,materials/images/blueB6.png,Beta,Alpha,0,1.6863153000595048,11,0,3
66,11006,training_phase_1,1,6,67,materials/images/blueB2.png,Beta,Beta,1,2.588268299936317,11,0,4
67,11006,training_phase_1,1,6,68,materials/images/redA2.png,Alpha,Alpha,1,0.9414036999223754,11,0,5
68,11006,training_phase_1,1,6,69,materials/images/redA5.png,Alpha,Alpha,1,0.30645609996281564,11,0,6
69,11006,training_phase_1,1,6,70,materials/images/redA4.png,Alpha,Alpha,1,0.022997899912297726,11,0,7
70,11006,training_phase_1,1,6,71,materials/images/blueB1.png,Beta,Beta,1,1.372700500069186,11,0,8
71,11006,training_phase_1,1,6,72,materials/images/redA3.png,Alpha,Alpha,1,3.690941800014116,11,0,9
72,11006,training_phase_1,1,7,73,materials/images/blueB3.png,Beta,Beta,1,0.13961579999886453,11,0,1
73,11006,training_phase_1,1,7,74,materials/images/blueB5.png,Beta,Beta,1,1.453489899984561,11,0,2
74,11006,training_phase_1,1,7,75,materials/images/blueB1.png,Beta,Alpha,0,0.319713200093247,11,0,2
75,11006,training_phase_1,1,7,76,materials/images/blueB2.png,Beta,Alpha,0,0.018952100072056055,11,0,2
76,11006,training_phase_1,1,7,77,materials/images/redA6.png,Alpha,Alpha,1,1.2138204000657424,11,0,3
77,11006,training_phase_1,1,7,78,materials/images/redA5.png,Alpha,Alpha,1,0.6261848999420181,11,0,4
78,11006,training_phase_1,1,7,79,materials/images/blueB6.png,Beta,Beta,1,0.8359746999340132,11,0,5
79,11006,training_phase_1,1,7,80,materials/images/blueB4.png,Beta,Alpha,0,2.0969983999384567,11,0,5
80,11006,training_phase_1,1,7,81,materials/images/redA2.png,Alpha,Alpha,1,0.9011454000137746,11,0,6
81,11006,training_phase_1,1,7,82,materials/images/redA4.png,Alpha,Alpha,1,2.1466902000829577,11,0,7
82,11006,training_phase_1,1,7,83,materials/images/redA1.png,Alpha,Alpha,1,0.6224762999918312,11,0,8
83,11006,training_phase_1,1,7,84,materials/images/redA3.png,Alpha,Alpha,1,2.32087080006022,11,0,9
84,11006,training_phase_1,1,8,85,materials/images/blueB2.png,Beta,Alpha,0,0.42738770006690174,11,0,0
85,11006,training_phase_1,1,8,86,materials/images/redA1.png,Alpha,Alpha,1,2.11955200007651,11,0,1
86,11006,training_phase_1,1,8,87,materials/images/blueB4.png,Beta,Beta,1,0.532215700019151,11,0,2
87,11006,training_phase_1,1,8,88,materials/images/blueB3.png,Beta,Alpha,0,1.5742928000399843,11,0,2
88,11006,training_phase_1,1,8,89,materials/images/blueB6.png,Beta,Beta,1,0.3041046999860555,11,0,3
89,11006,training_phase_1,1,8,90,materials/images/redA6.png,Alpha,Alpha,1,0.1782530000200495,11,0,4
90,11006,training_phase_1,1,8,91,materials/images/redA5.png,Alpha,Alpha,1,0.9682997999479994,11,0,5
91,11006,training_phase_1,1,8,92,materials/images/redA2.png,Alpha,Alpha,1,1.3245113000739366,11,0,6
92,11006,training_phase_1,1,8,93,materials/images/redA4.png,Alpha,Alpha,1,1.4609360999893397,11,0,7
93,11006,training_phase_1,1,8,94,materials/images/redA3.png,Alpha,Alpha,1,0.3743395999772474,11,0,8
94,11006,training_phase_1,1,8,95,materials/images/blueB1.png,Beta,Beta,1,0.3088335000211373,11,0,9
95,11006,training_phase_1,1,8,96,materials/images/blueB5.png,Beta,Beta,1,0.4935994000406936,11,0,10
